Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
torso,0.00585234292922584,-4.61140632321342E-06,-1.91001349893364E-10,0,0,0,0.0773188746224288,6.9860296096866E-05,1.40112923199812E-09,4.97237598808152E-14,0.000482895505579539,2.80017694202807E-09,0.000552618237292802,0,0,0,0,0,0,package://BA14/meshes/torso.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/torso.STL,,TorsoPlate-1;HingeAsm-15/Hinge-2;HingeAsm-9/Hinge-1;HingeAsm-1/Hinge-1;HingeAsm-10/Hinge-1;HingeAsm-2/Hinge-1,Coordinate System126,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
NeckBase,0.000645734028304206,8.91528981195044E-09,0.00570370451483394,0,0,0,0.000552160381379268,1.37754406098898E-08,-1.03297312070412E-13,1.40112923189962E-09,1.28003109152368E-08,-4.97237598467118E-14,8.09062527386862E-09,0,0,0,0,0,0,package://BA14/meshes/NeckBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/NeckBase.STL,,HingeAsm-15/Hinge-1,NeckUpDownC,NeckBase,NeckUpDown,continuous,-0.17145,0,0,0,0,1.5708,torso,-1,0,0,0,0,0,0,,,,,,,,
Neck,-0.000127501350431326,1.76033779220042E-09,0.0698158019260741,0,0,0,0.00279643114473697,3.03953806643145E-06,1.03297312075808E-13,1.40112923189963E-09,3.03856293673679E-06,4.9723759656622E-14,2.66420198842443E-08,0,0,0,0,0,0,package://BA14/meshes/Neck.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/Neck.STL,,HingeAsm-16/Hinge-2;Rod-12,NeckYawC,NeckYaw,NeckYaw,continuous,0,0,0.0127,0,0,0,NeckBase,0,0,1,0,0,0,0,,,,,,,,
Head,8.60606560195873E-05,1.18819151739835E-09,0.0943230531777287,0,0,0,0.00414299360275159,1.23841470155012E-05,-1.03297312067069E-13,1.40112923189945E-09,1.23831718858066E-05,-4.97237594682395E-14,3.77728566504696E-08,0,0,0,0,0,0,package://BA14/meshes/Head.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://BA14/meshes/Head.STL,,Rod-13;HingeAsm-16/Hinge-1,HeadUpDownC,HeadUpDown,HUpDown,continuous,0,0,0.127,-1.5708,0,0,Neck,-1,0,0,0,0,0,0,,,,,,,,
LWingBase,-8.91528981195044E-09,-0.000645734028303767,0.00699629548516618,0,0,0,0.000552160381379266,1.28003109152368E-08,-1.03297312074626E-13,-4.9723759856831E-14,1.37754406098898E-08,1.40112923189963E-09,8.09062527386861E-09,0,0,0,0,0,0,package://BA14/meshes/LWingBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LWingBase.STL,,HingeAsm-1/Hinge-1,LWingRotC,LWingRot,LShouldRot,continuous,-0.0762,-0.06985,0,-1.5708,0,-3.1416,torso,0,0,-1,0,0,0,0,,,,,,,,
LWingProx,-0.000122960676808948,0.000122960676809505,0.05715,0,0,0,0.00289973737344469,1.57843761676966E-06,2.06594624151742E-13,1.40117895565942E-09,1.57843761676966E-06,1.4011789556595E-09,3.10223662360377E-08,0,0,0,0,0,0,package://BA14/meshes/LWingProx.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LWingProx.STL,,HingeAsm-4/Hinge-2;HingeAsm-1/Hinge-2;Rod-3,LWingExtC,LWingExt,LShouldExt,continuous,0,0,0.0127,0,1.5708,0,LWingBase,0,1,0,0,0,0,0,,,,,,,,
LWingDist,-1.11022302462516E-16,2.59261859203441E-09,0.0825500000000042,0,0,0,0.00379744567878778,5.25117113046229E-06,1.0677299088109E-23,2.80225846379924E-09,5.24922087107298E-06,-1.5919446013748E-22,3.8442924080188E-08,0,0,0,0,0,0,package://BA14/meshes/LWingDist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LWingDist.STL,,HingeAsm-4/Hinge-1;Rod-4;HingeAsm-8/Hinge-2,LWingElbowC,LWingElbow,LElbow,continuous,0,0,0.1143,-1.5708,0,0,LWingProx,-1,0,0,0,0,0,0,,,,,,,,
LWingPhal,7.0733948136642E-05,9.76581676637167E-10,0.119367576821282,0,0,0,0.00504070190809468,2.41642222633512E-05,-1.03297312079344E-13,1.40112923183646E-09,2.41632471336566E-05,-4.97237569950302E-14,4.51934144946199E-08,0,0,0,0,0,0,package://BA14/meshes/LWingPhal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LWingPhal.STL,,HingeAsm-8/Hinge-1;Rod-6,LWingWristC,LWingWrist,LWrist,continuous,0,0,0.1651,-1.5708,0,0,LWingDist,-1,0,0,0,0,0,0,,,,,,,,
RWingBase,-8.91528981195044E-09,-0.000645734028303765,0.00699629548516618,0,0,0,0.000552160381379266,1.28003109152368E-08,-1.03297312067074E-13,-4.97237598611654E-14,1.37754406098898E-08,1.40112923189963E-09,8.09062527386859E-09,0,0,0,0,0,0,package://BA14/meshes/RWingBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RWingBase.STL,,HingeAsm-9/Hinge-1,RWingRotC,RWingRot,RShouldRot,continuous,-0.0762,0.06985,0,1.5708,0,3.1416,torso,0,0,-1,0,0,0,0,,,,,,,,
RWingProx,0.000122957281556979,0.000122957281556379,0.05715,0,0,0,0.00289973737344469,1.57843761676966E-06,2.06594624143565E-13,-1.40107950813982E-09,1.57843761676966E-06,1.40107950813974E-09,3.10223662360377E-08,0,0,0,0,0,0,package://BA14/meshes/RWingProx.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RWingProx.STL,,HingeAsm-12/Hinge-2;Rod-9;HingeAsm-9/Hinge-2,RWingExtC,RWingExt,RShouldExt,continuous,0,0,0.0127,0,1.5708,0,RWingBase,0,1,0,0,0,0,0,,,,,,,,
RWingDist,-9.71445146547012E-17,2.5926212288141E-09,0.0825499999999996,0,0,0,0.00379744567878777,5.25117113046228E-06,2.44476929149704E-23,2.80225846379927E-09,5.24922087107297E-06,-1.55743591263034E-22,3.84429240801879E-08,0,0,0,0,0,0,package://BA14/meshes/RWingDist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RWingDist.STL,,HingeAsm-12/Hinge-1;Rod-10;HingeAsm-14/Hinge-2,RWingElbowC,RWingElbow,RElbow,continuous,0,0,0.1143,-1.5708,0,3.1416,RWingProx,-1,0,0,0,0,0,0,,,,,,,,
RWingPhal,7.07339481359065E-05,9.76584146883397E-10,0.119367576821284,0,0,0,0.00504070190809467,2.41642222633512E-05,-1.03297312071531E-13,1.40112923196285E-09,2.41632471336565E-05,-4.97237570026385E-14,4.51934144946199E-08,0,0,0,0,0,0,package://BA14/meshes/RWingPhal.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RWingPhal.STL,,HingeAsm-14/Hinge-1;Rod-11,RWingWristC,RWingWrist,RWrist,continuous,0,0,0.1651,-1.5708,0,0,RWingDist,-1,0,0,0,0,0,0,,,,,,,,
LLegBase,-0.000645734028303757,8.91528980958688E-09,0.00699629548516618,0,0,0,0.000552160381379267,1.37754406098899E-08,1.03297312073489E-13,1.40112923189964E-09,1.28003109152368E-08,4.97237598782797E-14,8.09062527386862E-09,0,0,0,0,0,0,package://BA14/meshes/LLegBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LLegBase.STL,,HingeAsm-2/Hinge-1,LHipRotC,LLegRot,LHipRot,continuous,0.1524,-0.04445,0,-1.5708,0,3.1416,torso,0,0,-1,0,0,0,0,,,,,,,,
LLegProx,-0.000122957281556986,-0.000122957281556979,0.05715,0,0,0,0.0028997373734447,1.57843761676966E-06,2.06594624131838E-13,1.40107950813983E-09,1.57843761676966E-06,-1.4010795081398E-09,3.10223662360378E-08,0,0,0,0,0,0,package://BA14/meshes/LLegProx.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LLegProx.STL,,HingeAsm-2/Hinge-2;Rod-1;HingeAsm-3/Hinge-1,LHipExtC,LLegExt,LHipExt,continuous,0,0,0.0127,1.5708,1.5708,0,LLegBase,0,1,0,0,0,0,0,,,,,,,,
LLegDist,0.000151879469147971,2.09691432273562E-09,0.0450496061762181,0,0,0,0.00234757699206543,1.56563730585442E-06,-1.03297312074645E-13,1.40112923189557E-09,1.56466217615977E-06,-4.9723759427933E-14,2.29317409621691E-08,0,0,0,0,0,0,package://BA14/meshes/LLegDist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/LLegDist.STL,,HingeAsm-3/Hinge-2;Rod-2,LKneeC,LLegKnee,LKnee,continuous,0,0,0.1143,-1.5708,0,0,LLegProx,-1,0,0,0,0,0,0,,,,,,,,
RLegBase,0.000645734028324324,-8.91528982033507E-09,0.00699629548516616,0,0,0,0.000552160381379264,1.37754406098897E-08,1.03297312073306E-13,-1.40112923189963E-09,1.28003109152367E-08,-4.97237598676163E-14,8.09062527386858E-09,0,0,0,0,0,0,package://BA14/meshes/RLegBase.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RLegBase.STL,,HingeAsm-10/Hinge-1,RHipRotC,RLegRot,RHipRot,continuous,0.1524,0.04445,0,1.5708,0,3.1416,torso,0,0,-1,0,0,0,0,,,,,,,,
RLegProx,-0.0043411675939694,0.000122962237984026,0.0569817889646333,0,0,0,0.00289973850332923,1.56949275761373E-06,2.03907189942025E-13,1.17137848321769E-07,1.57843761724558E-06,1.40118532452803E-09,3.99672490915483E-08,0,0,0,0,0,0,package://BA14/meshes/RLegProx.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RLegProx.STL,,HingeAsm-10/Hinge-2;Rod-7;HingeAsm-11/Hinge-1,RHipExtC,RLegExt,RHipExt,continuous,0,0,0.0127,0,-1.4955,1.5708,RLegBase,0,1,0,0,0,0,0,,,,,,,,
RLegDist,0.000151881383622779,-0.000100941724666473,0.0450457842662787,0,0,0,0.00234757812194996,1.56563730633035E-06,-1.05532899984093E-10,1.39714795340752E-09,1.56463553571617E-06,3.5333470739199E-10,2.29584051053505E-08,0,0,0,0,0,0,package://BA14/meshes/RLegDist.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BA14/meshes/RLegDist.STL,,HingeAsm-11/Hinge-2;Rod-8,RKneeC,RLegKnee,RKnee,continuous,-0.0086006,0,0.11398,-1.5708,-0.075317,0,RLegProx,-1,0,0,0,0,0,0,,,,,,,,
